name,fn_met_active_neigh,genes,max,min,weight
11013,0.636363636,HS2ST1,0.7,0.6,0.566835871
2224,0.636203866,SQRDL,0.7,0.6,0.566835871
14443,0.636108513,TXNRD2,0.7,0.6,0.566835871
15334,0.63559322,PLA2G4B,0.7,0.6,0.566835871
4594,0.63546798,STPG2,0.7,0.6,0.566835871
8502,0.635416667,COX8C,0.7,0.6,0.566835871
17616,0.635135135,GATC,0.7,0.6,0.566835871
3359,0.635014837,CYP4F22,0.7,0.6,0.566835871
6608,0.634826712,GYS1,0.7,0.6,0.566835871
12832,0.634615385,NQO2,0.7,0.6,0.566835871
10655,0.634517766,ACADSB,0.7,0.6,0.566835871
19268,0.634408602,SLC27A3,0.7,0.6,0.566835871
6022,0.6342711,SLC22A13,0.7,0.6,0.566835871
5630,0.634199134,SLCO1A2,0.7,0.6,0.566835871
7128,0.634095634,UPB1,0.7,0.6,0.566835871
19006,0.634042553,ENSG00000258644,0.7,0.6,0.566835871
7568,0.633401222,PPAP2C,0.7,0.6,0.566835871
16787,0.632894737,ETFDH,0.7,0.6,0.566835871
10705,0.632835821,CA14,0.7,0.6,0.566835871
8760,0.632791328,PPCDC,0.7,0.6,0.566835871
3466,0.632734531,ATP6V1C2,0.7,0.6,0.566835871
3037,0.632653061,PECR,0.7,0.6,0.566835871
11801,0.632333768,UGCG,0.7,0.6,0.566835871
12967,0.632331903,GLDC,0.7,0.6,0.566835871
3453,0.631875882,ACP1,0.7,0.6,0.566835871
19101,0.631868132,SLC2A11,0.7,0.6,0.566835871
3488,0.631782946,SULT1C4,0.7,0.6,0.566835871
9886,0.631710362,ENPP1,0.7,0.6,0.566835871
14697,0.631578947,BLVRA,0.7,0.6,0.566835871
16584,0.631578947,SLC10A7,0.7,0.6,0.566835871
1067,0.631474104,SLC9A2,0.7,0.6,0.566835871
7830,0.631336406,CYP2A13,0.7,0.6,0.566835871
1778,0.631195335,ACLY,0.7,0.6,0.566835871
9117,0.631178707,SLC38A6,0.7,0.6,0.566835871
8996,0.631043257,PFKM,0.7,0.6,0.566835871
9044,0.630901288,ETFB,0.7,0.6,0.566835871
5045,0.630853994,TK2,0.7,0.6,0.566835871
17613,0.630811304,ENSG00000144785,0.7,0.6,0.566835871
14006,0.630508475,ADHFE1,0.7,0.6,0.566835871
10336,0.630188679,PLA2G4A,0.7,0.6,0.566835871
17049,0.630081301,ENSG00000259112,0.7,0.6,0.566835871
18539,0.62979684,SLC37A4,0.7,0.6,0.566835871
15789,0.629458388,GPI,0.7,0.6,0.566835871
14001,0.629297459,GNE,0.7,0.6,0.566835871
8026,0.629139073,CYP2R1,0.7,0.6,0.566835871
13060,0.629050279,PGM2,0.7,0.6,0.566835871
15385,0.629032258,PPM1N,0.7,0.6,0.566835871
17497,0.628930818,PLCB3,0.7,0.6,0.566835871
